channel,most_probable_adc,threshold_1_delta,threshold_2_delta
1461,2072,5,6
1462,2069,5,6
1463,2066,5,6
1464,2076,5,6
1465,2069,5,6
1466,2070,5,6
1467,2076,5,6
1468,2074,5,6
1469,2085,5,6
1470,2064,6,7
1471,2075,5,7
1472,2034,6,7
1473,2027,5,6
1474,2026,5,6
1475,2024,5,6
1476,2027,5,6
1477,2029,5,6
1478,2031,5,6
1479,2026,5,6
1480,2037,5,6
1481,2033,5,6
1482,2033,5,6
1483,2025,5,6
1484,2023,5,6
1485,2033,5,6
1486,2029,5,6
1487,2027,5,6
1488,2029,5,6
1489,2021,5,6
1490,2034,5,6
1491,2029,5,6
1492,2022,5,6
1493,2021,5,6
1494,2021,5,6
1495,2036,5,6
1496,2023,5,6
1497,2029,5,6
1498,2028,5,6
1499,2028,5,6
1500,2029,5,6
1501,2024,5,6
1502,2020,5,6
1503,2027,5,6
1504,2026,5,6
1505,2031,5,6
1506,2026,5,5
1507,2030,5,6
1508,2030,5,6
1509,2021,5,5
1510,2023,4,5
1511,2033,5,5
1512,2028,5,5
1513,2038,5,5
1514,2024,4,5
1515,2028,4,5
1516,2024,5,6
1517,2039,5,6
1518,2015,5,6
1519,2015,5,6
1520,2030,4,5
1521,2022,5,6
1522,2019,5,5
1523,2029,5,5
1524,2027,5,6
1525,2020,5,5
1526,2029,5,5
1527,2029,5,6
1528,2027,5,5
1529,2023,4,5
1530,2020,5,5
1531,2033,5,5
1532,2017,5,5
1533,2025,5,6
1534,2013,5,5
1535,2025,5,5
1536,2012,5,5
1537,2017,5,6
1538,2018,5,6
1539,2013,5,5
1540,2025,5,5
1541,2014,5,6
1542,2022,5,5
1543,2022,5,5
1544,2014,5,5
1545,2012,5,5
1546,2023,5,6
1547,2021,5,5
1548,2017,5,5
1549,2015,5,6
1550,2023,5,5
1551,2018,5,5
1552,2028,5,6
1553,2023,4,5
1554,2025,5,5
1555,2021,4,5
1556,2027,5,5
1557,2014,4,5
1558,2013,5,5
1559,2020,5,5
1560,2026,5,5
1561,2015,4,5
1562,2021,5,5
1563,2019,5,5
1564,2028,5,5
1565,2019,4,5
1566,2025,5,5
1567,2025,4,5
1568,2024,4,5
1569,2026,4,5
1570,2010,4,5
1571,2020,4,5
1572,2013,4,5
1573,2007,4,5
1574,2015,4,5
1575,2026,4,5
1576,2026,4,5
1577,2025,4,5
1578,2021,4,5
1579,2025,4,5
1580,2018,4,5
1581,2023,4,5
1582,2019,4,5
1583,2020,4,5
1584,2020,4,5
1585,2023,4,5
1586,2018,4,5
1587,2018,4,5
1588,2026,4,5
1589,2022,4,5
1590,2016,4,5
1591,2013,4,5
1592,2027,4,5
1593,2011,4,5
1594,2015,4,5
1595,2021,4,5
1596,2022,4,5
1597,2024,4,5
1598,2022,4,5
1599,2020,4,5
1600,2030,4,5
1601,2031,4,5
1602,2037,4,5
1603,2030,4,5
1604,2029,4,5
1605,2027,4,5
1606,2029,4,5
1607,2037,4,5
1608,2029,4,5
1609,2031,4,5
1610,2029,4,5
1611,2033,4,5
1612,2031,4,5
1613,2038,4,5
1614,2034,4,5
1615,2029,4,5
1616,2027,4,5
1617,2030,4,5
1618,2037,4,4
1619,2028,4,5
1620,2035,4,5
1621,2033,4,5
1622,2034,4,5
1623,2027,4,5
1624,2038,4,4
1625,2033,4,5
1626,2037,4,5
1627,2035,4,5
1628,2029,4,5
1629,2025,4,5
1630,2034,4,5
1631,2037,4,5
1632,2027,4,5
1633,2032,4,4
1634,2034,4,5
1635,2042,4,6
1636,2027,4,4
1637,2031,4,5
1638,2031,4,5
1639,2030,4,4
1640,2034,4,4
1641,2027,4,4
1642,2034,4,4
1643,2027,4,5
1644,2035,4,4
1645,2030,4,4
1646,2032,4,4
1647,2036,4,4
1648,2035,4,5
1649,2026,4,5
1650,2029,4,4
1651,2036,4,5
1652,2034,4,5
1653,2030,4,4
1654,2029,4,5
1655,2029,4,4
1656,2037,4,4
1657,2030,4,4
1658,2027,4,4
1659,2019,4,4
1660,2023,4,5
1661,2031,4,5
1662,2033,4,5
1663,2030,4,4
1664,2078,4,4
1665,2068,4,4
1666,2058,4,5
1667,2070,4,5
1668,2064,4,5
1669,2071,4,4
1670,2059,4,4
1671,2072,4,4
1672,2069,4,4
1673,2067,4,4
1674,2071,4,4
1675,2061,4,4
1676,2067,4,4
1677,2064,4,5
1678,2059,4,4
1679,2074,4,4
1680,2070,4,4
1681,2070,4,4
1682,2056,4,4
1683,2062,4,5
1684,2075,4,4
1685,2068,4,4
1686,2064,4,5
1687,2066,4,4
1688,2061,4,4
1689,2059,4,4
1690,2059,4,4
1691,2068,4,4
1692,2060,4,4
1693,2061,4,4
1694,2067,4,4
1695,2060,4,4
1696,2068,4,4
1697,2062,4,5
1698,2069,4,4
1699,2067,4,4
1700,2066,4,4
1701,2074,4,4
1702,2070,4,4
1703,2055,4,4
1704,2060,4,4
1705,2064,4,4
1706,2064,4,4
1707,2066,4,4
1708,2073,4,4
1709,2066,4,4
1710,2070,4,5
1711,2062,4,4
1712,2064,4,4
1713,2067,4,4
1714,2065,4,4
1715,2068,4,5
1716,2067,4,4
1717,2064,4,4
1718,2069,4,4
1719,2072,4,4
1720,2070,4,5
1721,2058,4,5
1722,2064,4,5
1723,2059,4,4
1724,2064,4,5
1725,2067,4,5
1726,2064,4,5
1727,2060,4,5
1728,2029,4,5
1729,2038,4,4
1730,2030,4,4
1731,2031,4,4
1732,2029,4,4
1733,2027,4,4
1734,2031,4,5
1735,2032,4,4
1736,2053,4,4
1737,2052,4,6
1738,2040,4,4
1739,2024,4,4
1740,2032,4,4
1741,2024,4,4
1742,2032,4,4
1743,2040,4,4
1744,2037,4,4
1745,2030,4,5
1746,2035,4,4
1747,2056,4,4
1748,2040,4,4
1749,2036,4,4
1750,2030,4,4
1751,2037,4,4
1752,2036,4,4
1753,2031,4,4
1754,2026,4,4
1755,2029,4,4
1756,2033,4,4
1757,2031,4,4
1758,2033,4,4
1759,2020,4,5
1760,2034,4,4
1761,2033,3,4
1762,2034,3,4
1763,2023,4,4
1764,2039,4,4
1765,2028,3,4
1766,2032,3,4
1767,2021,3,4
1768,2037,3,4
1769,2035,3,4
1770,2020,3,4
1771,2031,3,4
1772,2030,3,4
1773,2032,3,4
1774,2034,3,4
1775,2033,3,4
1776,2031,3,4
1777,2030,3,4
1778,2040,3,4
1779,2030,3,4
1780,2036,3,4
1781,2030,3,4
1782,2031,4,4
1783,2039,3,4
1784,2030,3,4
1785,2033,3,4
1786,2033,3,4
1787,2027,3,4
1788,2032,4,4
1789,2032,3,4
1790,2031,3,4
1791,2031,3,4
1792,2041,4,4
1793,2039,4,4
1794,2039,4,4
1795,2058,4,4
1796,2056,4,4
1797,2059,4,4
1798,2059,3,4
1799,2038,4,4
1800,2053,4,4
1801,2053,4,4
1802,2040,4,4
1803,2041,4,4
1804,2052,4,5
1805,2056,4,4
1806,2051,10,11
1807,2057,4,4
1808,2054,3,4
1809,2056,4,4
1810,2052,4,7
1811,2060,3,4
1812,2056,4,4
1813,2041,9,10
1814,2052,3,4
1815,2054,4,4
1816,2037,4,4
1817,2055,3,4
1818,2052,11,12
1819,2053,3,4
1820,2062,3,4
1821,2041,4,5
1822,2036,4,4
1823,2057,3,4
1824,2052,4,9
1825,2041,3,4
1826,2060,3,4
1827,2051,11,11
1828,2040,3,4
1829,2039,3,4
1830,2056,3,4
1831,2041,3,4
1832,2056,3,4
1833,2040,3,4
1834,2054,3,4
1835,2040,3,4
1836,2052,11,11
1837,2055,3,4
1838,2053,3,4
1839,2055,3,4
1840,2036,3,4
1841,2055,3,4
1842,2052,4,5
1843,2034,3,4
1844,2041,3,4
1845,2056,3,4
1846,2041,11,11
1847,2056,3,4
1848,2056,4,4
1849,2066,3,4
1850,2064,4,4
1851,2055,4,4
1852,2053,3,4
1853,2031,4,4
1854,2052,4,4
1855,2057,3,4
1856,2040,3,4
1857,2053,4,4
1858,2036,3,4
1859,2038,3,4
1860,2053,3,4
1861,2051,8,9
1862,2055,3,4
1863,2056,3,4
1864,2040,3,4
1865,2034,3,4
1866,2034,3,4
1867,2051,9,10
1868,2041,3,4
1869,2039,3,4
1870,2057,3,4
1871,2039,3,4
1872,2039,3,4
1873,2054,3,4
1874,2054,3,4
1875,2052,8,10
1876,2052,9,10
1877,2040,3,4
1878,2035,3,4
1879,2054,3,3
1880,2063,3,3
1881,2037,3,3
1882,2041,3,6
1883,2034,3,4
1884,2054,3,4
1885,2041,3,4
1886,2033,3,3
1887,2036,3,3
1888,2039,3,4
1889,2038,3,4
1890,2052,11,11
1891,2055,3,4
1892,2040,3,4
1893,2056,3,4
1894,2031,3,4
1895,2034,3,4
1896,2040,3,4
1897,2040,3,4
1898,2055,3,4
1899,2040,3,4
1900,2052,11,12
1901,2054,3,4
1902,2031,3,4
1903,2041,11,12
1904,2040,3,4
1905,2041,3,4
1906,2041,10,11
1907,2034,3,4
1908,2041,3,4
1909,2054,3,4
1910,2052,11,12
1911,2051,12,12
1912,2052,12,12
1913,2038,3,3
1914,2055,3,4
1915,2056,3,3
1916,2039,3,4
1917,2039,3,4
1918,2033,3,3
1919,2055,3,3
1920,2015,3,4
1921,2020,3,3
1922,2026,3,3
1923,2022,3,3
1924,2019,3,3
1925,2014,3,4
1926,2017,3,3
1927,2009,3,3
1928,2015,3,4
1929,2012,3,3
1930,2014,3,3
1931,2008,3,4
1932,2014,3,3
1933,2015,3,3
1934,2017,3,3
1935,2008,3,3
1936,2020,3,3
1937,2020,3,4
1938,2016,3,3
1939,2018,3,3
1940,2009,3,3
1941,2019,3,3
1942,2019,3,3
1943,2015,3,3
1944,2015,3,3
1945,2017,3,3
1946,2017,3,3
1947,2019,3,4
1948,2022,3,3
1949,2012,3,3
1950,2021,3,3
1951,2019,3,4
1952,2025,3,3
1953,2011,3,3
1954,2014,3,3
1955,2017,3,3
1956,2016,3,3
1957,2021,3,3
1958,2015,3,3
1959,2017,3,3
1960,2015,3,3
1961,2012,3,3
1962,2023,3,3
1963,2011,3,3
1964,2015,3,3
1965,2012,3,3
1966,2023,3,3
1967,2018,3,3
1968,2028,3,3
1969,2018,3,3
1970,2023,3,3
1971,2015,3,4
1972,2022,3,3
1973,2024,3,3
1974,2019,3,3
1975,2026,3,3
1976,2018,3,3
1977,2018,3,3
1978,2013,3,3
1979,2027,3,3
1980,2023,3,3
1981,2015,3,3
1982,2017,3,3
1983,2013,3,3
1984,2035,3,3
1985,2030,3,3
1986,2026,3,3
1987,2034,3,3
1988,2035,3,3
1989,2030,3,3
1990,2026,3,3
1991,2034,3,3
1992,2029,3,3
1993,2031,3,3
1994,2034,3,3
1995,2027,3,3
1996,2034,3,3
1997,2031,3,4
1998,2034,3,3
1999,2028,3,3
2000,2034,3,3
2001,2031,3,3
2002,2031,3,3
2003,2035,3,3
2004,2020,3,3
2005,2033,3,3
2006,2021,3,3
2007,2029,3,3
2008,2033,3,3
2009,2034,3,3
2010,2026,3,3
2011,2037,3,3
2012,2030,5,5
2013,2029,3,3
2014,2026,3,3
2015,2033,3,4
2016,2028,3,3
2017,2033,3,3
2018,2029,3,3
2019,2040,3,3
2020,2037,3,3
2021,2031,3,3
2022,2027,3,3
2023,2026,3,3
2024,2034,3,3
2025,2028,3,3
2026,2033,3,3
2027,2034,3,3
2028,2035,3,3
2029,2022,3,3
2030,2032,3,3
2031,2028,3,3
2032,2037,3,3
2033,2029,3,3
2034,2027,3,3
2035,2035,3,3
2036,2022,3,4
2037,2022,3,3
2038,2037,3,4
2039,2023,3,3
2040,2027,3,3
2041,2028,3,3
2042,2029,3,4
2043,2028,3,3
2044,2031,3,3
2045,2031,3,3
2046,2025,3,3
2047,2034,3,3
2048,2016,3,4
2049,2023,3,4
2050,2019,3,4
2051,2025,3,4
2052,2018,3,3
2053,2027,3,4
2054,2028,3,4
2055,2020,3,4
2056,2028,3,4
2057,2027,3,4
2058,2024,3,4
2059,2029,3,3
2060,2023,3,4
2061,2021,3,4
2062,2018,3,4
2063,2026,3,4
2064,2025,3,3
2065,2024,3,3
2066,2021,3,3
2067,2028,3,3
2068,2029,3,4
2069,2010,3,3
2070,2028,3,3
2071,2018,3,3
2072,2028,3,3
2073,2022,3,3
2074,2022,3,3
2075,2024,3,3
2076,2029,3,3
2077,2022,3,3
2078,2020,3,3
2079,2031,3,4
2080,2030,3,3
2081,2023,3,3
2082,2026,3,4
2083,2031,3,4
2084,2022,3,3
2085,2014,3,4
2086,2031,4,4
2087,2026,3,3
2088,2022,3,3
2089,2017,3,3
2090,2030,3,4
2091,2023,3,4
2092,2027,3,4
2093,2023,3,4
2094,2022,3,4
2095,2030,3,4
2096,2028,3,3
2097,2022,3,4
2098,2022,3,4
2099,2033,3,4
2100,2023,3,4
2101,2027,3,4
2102,2021,3,4
2103,2033,3,4
2104,2022,3,4
2105,2026,3,4
2106,2020,3,4
2107,2027,3,4
2108,2025,3,4
2109,2018,3,4
2110,2021,3,4
2111,2029,3,4
2112,2024,3,4
2113,2030,3,4
2114,2026,3,4
2115,2031,3,4
2116,2022,3,4
2117,2026,3,4
2118,2029,3,4
2119,2035,3,4
2120,2028,3,3
2121,2026,3,4
2122,2033,3,4
2123,2033,3,4
2124,2027,3,4
2125,2027,3,4
2126,2024,3,4
2127,2024,3,4
2128,2030,3,4
2129,2034,3,4
2130,2024,3,4
2131,2025,3,4
2132,2033,3,4
2133,2034,3,4
2134,2023,3,4
2135,2026,3,4
2136,2025,3,4
2137,2030,3,4
2138,2029,4,4
2139,2033,3,4
2140,2031,3,4
2141,2021,3,4
2142,2026,4,4
2143,2036,3,4
2144,2023,3,4
2145,2028,3,4
2146,2019,3,4
2147,2025,3,4
2148,2026,3,4
2149,2027,3,4
2150,2026,3,4
2151,2031,3,4
2152,2031,3,4
2153,2031,3,4
2154,2025,3,4
2155,2027,3,4
2156,2031,3,4
2157,2030,3,4
2158,2035,3,4
2159,2028,3,4
2160,2027,3,4
2161,2033,3,4
2162,2028,3,4
2163,2026,3,4
2164,2033,3,4
2165,2022,3,4
2166,2034,3,4
2167,2024,3,4
2168,2020,3,4
2169,2028,3,4
2170,2028,3,4
2171,2024,3,4
2172,2035,3,4
2173,2028,3,4
2174,2031,3,4
2175,2033,3,4
2176,2039,3,4
2177,2032,3,4
2178,2031,3,4
2179,2038,3,4
2180,2033,3,4
2181,2033,3,4
2182,2033,3,4
2183,2033,3,4
2184,2027,3,4
2185,2031,4,4
2186,2028,3,4
2187,2035,3,4
2188,2035,3,4
2189,2035,3,4
2190,2031,3,4
2191,2031,3,4
2192,2034,3,4
2193,2027,4,4
2194,2034,3,4
2195,2039,3,4
2196,2034,3,4
2197,2034,3,4
2198,2036,3,4
2199,2034,3,4
2200,2030,3,4
2201,2028,3,4
2202,2031,4,4
2203,2030,3,4
2204,2037,3,4
2205,2037,3,4
2206,2037,3,4
2207,2032,3,4
2208,2036,3,4
2209,2029,3,4
2210,2031,4,4
2211,2040,3,4
2212,2041,4,4
2213,2029,4,4
2214,2033,3,4
2215,2036,3,4
2216,2036,3,4
2217,2039,3,4
2218,2030,3,4
2219,2052,9,10
2220,2038,4,4
2221,2027,3,4
2222,2026,4,4
2223,2037,4,4
2224,2030,4,4
2225,2029,4,4
2226,2054,4,4
2227,2038,4,4
2228,2031,4,4
2229,2033,4,4
2230,2034,4,4
2231,2037,4,4
2232,2018,4,4
2233,2039,4,4
2234,2033,4,4
2235,2033,4,4
2236,2040,4,4
2237,2025,4,4
2238,2026,4,4
2239,2037,4,4
2240,2071,4,4
2241,2063,3,4
2242,2057,4,4
2243,2067,3,4
2244,2066,3,4
2245,2066,4,4
2246,2060,4,4
2247,2070,4,4
2248,2064,3,4
2249,2066,3,4
2250,2061,3,4
2251,2070,4,4
2252,2070,3,4
2253,2061,3,4
2254,2060,4,4
2255,2066,4,4
2256,2080,4,4
2257,2064,4,4
2258,2067,4,4
2259,2064,4,4
2260,2068,4,4
2261,2068,4,4
2262,2057,4,4
2263,2058,4,4
2264,2059,4,4
2265,2065,4,4
2266,2064,4,5
2267,2068,4,4
2268,2052,9,10
2269,2068,4,4
2270,2064,4,4
2271,2057,4,4
2272,2061,3,4
2273,2064,4,4
2274,2061,3,4
2275,2072,3,4
2276,2074,4,4
2277,2067,4,4
2278,2071,3,4
2279,2070,3,4
2280,2066,4,4
2281,2068,3,4
2282,2071,4,4
2283,2060,4,4
2284,2069,3,4
2285,2066,3,4
2286,2065,4,4
2287,2066,4,4
2288,2064,4,4
2289,2066,4,4
2290,2076,4,4
2291,2069,4,4
2292,2064,4,5
2293,2062,4,4
2294,2070,4,4
2295,2070,4,4
2296,2062,4,4
2297,2060,4,4
2298,2066,4,4
2299,2068,4,4
2300,2068,4,4
2301,2072,4,4
2302,2058,4,4
2303,2062,4,4
2304,2026,4,4
2305,2027,4,4
2306,2025,4,4
2307,2029,4,4
2308,2027,4,4
2309,2025,4,4
2310,2021,4,4
2311,2021,4,4
2312,2033,4,4
2313,2025,4,4
2314,2019,4,4
2315,2024,4,4
2316,2026,4,4
2317,2027,4,4
2318,2030,4,4
2319,2030,4,4
2320,2031,4,4
2321,2032,4,4
2322,2021,4,4
2323,2030,4,4
2324,2027,4,4
2325,2028,4,4
2326,2025,4,4
2327,2023,4,4
2328,2031,4,4
2329,2025,4,4
2330,2025,4,4
2331,2033,4,4
2332,2027,4,4
2333,2035,4,4
2334,2028,4,4
2335,2037,4,4
2336,2027,4,4
2337,2024,4,4
2338,2025,4,4
2339,2027,4,4
2340,2027,4,4
2341,2025,4,4
2342,2025,4,4
2343,2022,4,4
2344,2022,4,4
2345,2027,4,4
2346,2025,4,4
2347,2019,4,4
2348,2033,4,4
2349,2020,4,4
2350,2022,4,4
2351,2021,4,4
2352,2022,4,4
2353,2030,4,4
2354,2022,4,4
2355,2019,4,4
2356,2025,4,5
2357,2019,4,4
2358,2026,4,5
2359,2027,4,4
2360,2025,4,5
2361,2028,4,5
2362,2021,4,4
2363,2026,4,5
2364,2033,4,5
2365,2028,4,5
2366,2027,4,5
2367,2027,4,5
2368,2067,4,5
2369,2078,4,5
2370,2062,4,5
2371,2084,4,5
2372,2064,4,5
2373,2080,5,5
2374,2073,4,5
2375,2081,4,5
2376,2064,4,5
2377,2070,4,5
2378,2070,4,5
2379,2073,4,5
2380,2069,4,5
2381,2066,4,5
2382,2069,4,5
2383,2066,4,5
2384,2067,4,5
2385,2073,4,5
2386,2074,4,5
2387,2070,4,5
2388,2068,4,5
2389,2068,4,5
2390,2082,4,5
2391,2070,4,5
2392,2068,4,4
2393,2066,4,5
2394,2074,4,5
2395,2070,4,5
2396,2066,4,5
2397,2066,4,5
2398,2073,4,5
2399,2078,4,5
2400,2074,4,5
2401,2085,4,5
2402,2065,4,5
2403,2071,4,5
2404,2070,4,5
2405,2072,4,5
2406,2072,4,5
2407,2062,4,5
2408,2072,4,5
2409,2075,4,5
2410,2078,5,5
2411,2065,4,5
2412,2067,4,5
2413,2067,4,5
2414,2070,4,5
2415,2076,4,5
2416,2062,5,5
2417,2064,5,5
2418,2065,5,5
2419,2075,4,5
2420,2077,5,5
2421,2058,5,5
2422,2071,5,5
2423,2070,5,5
2424,2073,5,5
2425,2072,5,5
2426,2068,5,5
2427,2068,5,5
2428,2064,5,5
2429,2069,5,5
2430,2066,5,5
2431,2072,5,5
2432,2054,5,5
2433,2018,5,5
2434,2030,5,5
2435,2015,5,5
2436,2023,5,5
2437,2029,5,5
2438,2020,5,5
2439,2031,5,5
2440,2027,5,6
2441,2035,5,5
2442,2030,5,5
2443,2023,5,5
2444,2029,5,5
2445,2029,5,6
2446,2021,5,5
2447,2028,5,5
2448,2027,5,5
2449,2017,5,5
2450,2026,5,5
2451,2023,5,5
2452,2023,5,6
2453,2031,5,6
2454,2017,5,5
2455,2019,5,5
2456,2027,5,6
2457,2021,5,5
2458,2033,5,5
2459,2027,5,6
2460,2024,5,5
2461,2029,5,5
2462,2026,5,5
2463,2017,5,5
2464,2023,5,5
2465,2025,5,5
2466,2026,5,5
2467,2031,5,5
2468,2025,5,6
2469,2021,5,5
2470,2013,5,5
2471,2027,5,6
2472,2023,5,6
2473,2025,5,6
2474,2034,5,5
2475,2026,5,6
2476,2027,5,6
2477,2021,5,6
2478,2025,5,5
2479,2024,5,6
2480,2021,5,6
2481,2028,5,6
2482,2029,5,6
2483,2018,5,6
2484,2026,5,6
2485,2015,5,6
2486,2026,5,6
2487,2031,5,6
2488,2022,5,6
2489,2020,5,6
2490,2027,5,6
2491,2027,5,6
2492,2030,5,6
2493,2025,5,6
2494,2025,5,6
2495,2026,5,6
2496,2058,5,6
2497,2054,5,6
2498,2054,5,6
2499,2036,5,6
2500,2052,11,12
2501,2052,11,12
2502,2056,5,6
2503,2042,5,6
2504,2043,11,12
2505,2057,5,6
2506,2040,5,6
2507,2054,5,6
2508,2058,5,6
2509,2040,5,6
2510,2037,5,6
2511,2059,5,6
2512,2038,5,5
2513,2056,5,6
2514,2052,11,12
2515,2042,13,13
2516,2056,5,5
2517,2040,5,6
2518,2062,5,5
2519,2033,5,6
2520,2052,11,12
2521,2059,5,5
2522,2054,5,5
2523,2056,5,6
2524,2039,5,6
2525,2052,12,13
2526,2054,5,5
2527,2068,5,6
2528,2039,5,6
2529,2041,5,6
2530,2042,5,6
2531,2053,5,6
2532,2043,12,12
2533,2057,5,6
2534,2070,5,6
2535,2053,5,6
2536,2041,5,6
2537,2053,5,6
2538,2056,5,6
2539,2062,5,6
2540,2056,5,6
2541,2056,5,6
2542,2060,5,6
2543,2039,5,6
2544,2059,5,6
2545,2056,5,6
2546,2060,5,6
2547,2059,5,6
2548,2061,5,6
2549,2039,5,6
2550,2058,5,6
2551,2041,5,6
2552,2056,5,6
2553,2036,5,6
2554,2056,5,6
2555,2054,5,6
2556,2036,5,6
2557,2035,5,6
2558,2041,5,6
2559,2058,5,6
2560,2025,6,6
2561,2028,6,6
2562,2021,6,6
2563,2033,5,6
2564,2031,6,7
2565,2019,6,6
2566,2026,6,6
2567,2029,6,7
2568,2033,6,6
2569,2033,6,7
2570,2027,6,7
2571,2031,6,7
2572,2027,6,7
2573,2023,6,7
2574,2023,6,7
2575,2039,6,7
2576,2037,6,7
2577,2031,6,7
2578,2029,6,7
2579,2031,6,7
2580,2037,6,7
2581,2037,6,7
2582,2026,6,7
2583,2031,6,7
2584,2026,6,7
2585,2030,6,7
2586,2029,6,7
2587,2036,6,7
2588,2035,6,7
2589,2033,6,7
2590,2026,6,7
2591,2035,6,7
2592,2030,6,6
2593,2027,6,7
2594,2038,6,7
2595,2036,6,7
2596,2028,6,6
2597,2028,6,6
2598,2039,6,6
2599,2037,6,7
2600,2025,6,7
2601,2027,6,7
2602,2027,6,7
2603,2022,6,7
2604,2029,6,7
2605,2024,6,6
2606,2035,6,7
2607,2027,6,6
2608,2027,6,7
2609,2025,6,7
2610,2028,6,7
2611,2031,6,7
2612,2029,6,7
2613,2030,6,7
2614,2035,6,7
2615,2037,6,7
2616,2025,6,7
2617,2036,6,7
2618,2033,6,7
2619,2028,6,7
2620,2035,6,7
2621,2039,6,7
2622,2027,6,7
2623,2037,6,7
2624,2027,6,7
2625,2029,6,6
2626,2026,5,6
2627,2029,6,6
2628,2037,6,6
2629,2028,5,6
2630,2031,6,7
2631,2023,6,6
2632,2027,6,7
2633,2023,5,6
2634,2026,5,6
2635,2027,6,6
2636,2029,6,6
2637,2015,6,7
2638,2029,5,6
2639,2014,6,6
2640,2027,6,7
2641,2025,5,6
2642,2026,6,6
2643,2029,5,6
2644,2020,5,6
2645,2021,6,6
2646,2024,5,6
2647,2031,6,7
2648,2031,5,6
2649,2029,5,6
2650,2022,5,6
2651,2028,6,6
2652,2019,6,6
2653,2023,6,6
2654,2022,6,7
2655,2034,6,7
2656,2013,5,6
2657,2020,6,7
2658,2024,5,6
2659,2020,6,6
2660,2028,5,6
2661,2024,5,6
2662,2021,6,6
2663,2041,5,6
2664,2029,6,6
2665,2022,5,6
2666,2024,5,6
2667,2027,5,6
2668,2017,5,6
2669,2022,5,6
2670,2022,5,6
2671,2021,6,7
2672,2021,6,7
2673,2023,6,7
2674,2024,6,7
2675,2025,6,6
2676,2029,6,7
2677,2031,6,7
2678,2026,6,7
2679,2026,6,7
2680,2023,6,7
2681,2025,6,7
2682,2023,6,7
2683,2030,6,7
2684,2039,6,7
2685,2020,6,7
2686,2033,6,7
2687,2025,6,7
2688,2078,6,7
2689,2083,6,7
2690,2089,6,7
2691,2084,6,7
2692,2092,6,7
2693,2092,6,7
2694,2086,6,7
2695,2091,6,7
2696,2085,6,7
2697,2088,6,7
2698,2086,6,7
2699,2092,6,7
2700,2080,6,7
2701,2082,6,7
2702,2092,6,7
2703,2093,6,7
2704,2087,6,7
2705,2088,6,7
2706,2078,6,7
2707,2088,6,7
2708,2092,6,7
2709,2080,6,7
2710,2084,6,7
2711,2078,6,7
2712,2076,6,7
2713,2080,6,7
2714,2088,6,7
2715,2088,6,7
2716,2084,6,7
2717,2084,6,7
2718,2086,6,7
2719,2080,6,7
2720,2082,6,7
2721,2086,6,7
2722,2084,6,7
2723,2082,6,8
2724,2085,6,7
2725,2086,6,7
2726,2084,6,7
2727,2093,6,7
2728,2080,6,7
2729,2080,6,7
2730,2080,6,8
2731,2086,6,7
2732,2095,6,7
2733,2090,6,7
2734,2089,6,7
2735,2083,6,7
2736,2085,6,8
2737,2084,7,8
2738,2084,6,7
2739,2084,6,7
2740,2084,6,8
2741,2087,6,7
2742,2077,6,7
2743,2082,6,8
2744,2082,6,7
2745,2090,6,8
2746,2082,6,7
2747,2080,7,8
2748,2086,6,7
2749,2080,7,8
2750,2082,6,8
2751,2088,7,8
2752,2054,6,8
2753,2031,6,7
2754,2039,6,7
2755,2041,6,7
2756,2037,6,7
2757,2052,12,14
2758,2037,6,7
2759,2036,6,7
2760,2054,6,7
2761,2037,6,7
2762,2031,6,7
2763,2037,6,7
2764,2030,6,7
2765,2035,6,7
2766,2033,6,7
2767,2039,6,7
2768,2060,6,7
2769,2036,6,7
2770,2037,6,7
2771,2039,6,8
2772,2052,13,14
2773,2052,6,8
2774,2031,6,7
2775,2029,6,7
2776,2031,6,7
2777,2041,6,7
2778,2029,6,7
2779,2041,6,7
2780,2040,6,7
2781,2036,2,2
2782,2034,6,8
2783,2037,6,7
2784,2038,6,7
2785,2035,6,7
2786,2037,6,7
2787,2058,6,7
2788,2035,6,8
2789,2035,6,8
2790,2039,6,7
2791,2041,6,8
2792,2053,6,7
2793,2052,6,7
2794,2054,6,7
2795,2031,6,7
2796,2035,7,8
2797,2037,6,8
2798,2040,6,8
2799,2036,6,7
2800,2033,6,7
2801,2041,6,8
2802,2039,6,8
2803,2035,6,7
2804,2039,6,8
2805,2042,11,13
2806,2037,6,8
2807,2037,6,7
2808,2056,6,8
2809,2039,6,7
2810,2041,6,8
2811,2041,6,8
2812,2037,6,8
2813,2034,6,8
2814,2037,6,8
2815,2039,7,8
2816,2041,6,8
2817,2035,7,8
2818,2039,7,8
2819,2056,6,8
2820,2052,7,8
2821,2041,6,8
2822,2054,7,8
2823,2037,6,8
2824,2039,6,8
2825,2039,6,8
2826,2042,6,8
2827,2068,6,8
2828,2056,7,8
2829,2056,7,8
2830,2041,6,8
2831,2042,6,8
2832,2054,6,8
2833,2059,6,7
2834,2052,7,8
2835,2056,6,7
2836,2056,7,8
2837,2038,6,7
2838,2058,7,8
2839,2054,6,8
2840,2037,6,8
2841,2059,6,7
2842,2054,6,8
2843,2056,6,8
2844,2041,6,8
2845,2035,6,8
2846,2043,7,8
2847,2056,6,8
2848,2058,6,7
2849,2056,6,8
2850,2056,6,8
2851,2058,6,8
2852,2039,7,8
2853,2034,6,8
2854,2037,6,8
2855,2061,7,8
2856,2039,6,8
2857,2058,6,8
